1,1,0.99998773808082
1,2,0.631243555770861
1,3,0.474224711961568
1,4,0.384133223123814
1,5,0.329416510839288
1,6,0.288003529934197
2,1,0.153696359452586
2,2,0.134595330830407
2,3,0.114323292963546
2,4,0.101328698881757
2,5,0.0931204485083364
2,6,0.087653407210044
2,8,0.0803843322433491
2,10,0.0758241169916434
2,12,0.0730352704775746
2,16,0.0687697475677203
2,20,0.0664358422752412
3,1,0.680035799119939
3,2,0.42270133583626
3,3,0.315095950102943
3,4,0.251005971095232
3,5,0.212397064712769
3,6,0.184259679867587
3,8,0.147424974768883
3,10,0.124723783860159
3,12,0.111035052278874
3,16,0.0910755738565258
3,20,0.0801590847765532
4,1,0.187798301360462
4,2,0.0902463691817044
4,3,0.0584524386581083
4,4,0.043045837753825
4,5,0.0341667635541561
4,6,0.0289462990190142
4,8,0.02398000758952
4,10,0.0218448332324089
4,12,0.0207138641960357
4,16,0.0201493939687538
4,20,0.0201790849784022
